ID, DATE, LATITUDE, LONGITUDE, ADTITUDE [m], TEMPERATURE [*C], HUMIDITY [%], PRESSURE [hPa], MQ7 [ppm], MQ7 DETECT, PM 1.0 [ug/m^3], PM 2.5 [ug/m^3], PM 10 [ug/m^3]
1 ,Sun Nov 01 2020 16:43:35 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,187 ,1 ,2 ,2 ,2
2 ,Sun Nov 01 2020 16:43:37 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,186 ,1 ,2 ,2 ,2
3 ,Sun Nov 01 2020 16:43:39 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,189 ,1 ,2 ,2 ,2
4 ,Sun Nov 01 2020 16:43:40 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,189 ,1 ,2 ,2 ,2
5 ,Sun Nov 01 2020 16:43:42 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,187 ,1 ,2 ,2 ,2
6 ,Sun Nov 01 2020 16:43:44 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,188 ,1 ,2 ,2 ,2
7 ,Sun Nov 01 2020 16:43:53 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,184 ,1 ,2 ,2 ,2
8 ,Sun Nov 01 2020 16:43:55 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,185 ,1 ,2 ,2 ,2
9 ,Sun Nov 01 2020 16:43:57 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,181 ,1 ,6 ,7 ,7
10 ,Sun Nov 01 2020 16:43:59 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,183 ,1 ,6 ,7 ,7
11 ,Sun Nov 01 2020 16:44:01 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,182 ,1 ,6 ,7 ,7
12 ,Sun Nov 01 2020 16:44:02 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,182 ,1 ,6 ,7 ,7
13 ,Sun Nov 01 2020 16:44:04 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,184 ,1 ,6 ,7 ,7
14 ,Sun Nov 01 2020 16:44:06 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,180 ,1 ,6 ,7 ,7
15 ,Sun Nov 01 2020 16:44:16 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,180 ,1 ,6 ,7 ,7
16 ,Sun Nov 01 2020 16:44:18 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,179 ,1 ,6 ,7 ,7
17 ,Sun Nov 01 2020 16:44:20 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,179 ,1 ,6 ,7 ,7
18 ,Sun Nov 01 2020 16:44:21 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,179 ,1 ,6 ,7 ,7
19 ,Sun Nov 01 2020 16:44:23 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,181 ,1 ,6 ,7 ,7
20 ,Sun Nov 01 2020 16:44:25 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,178 ,1 ,6 ,7 ,7
21 ,Sun Nov 01 2020 16:44:27 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,178 ,1 ,6 ,7 ,7
22 ,Sun Nov 01 2020 16:44:28 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,178 ,1 ,6 ,7 ,7
23 ,Sun Nov 01 2020 16:44:29 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,177 ,1 ,6 ,7 ,7
24 ,Sun Nov 01 2020 16:44:30 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,177 ,1 ,6 ,7 ,7
25 ,Sun Nov 01 2020 16:44:40 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,177 ,1 ,6 ,7 ,7
26 ,Sun Nov 01 2020 16:44:42 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,177 ,1 ,6 ,7 ,7
27 ,Sun Nov 01 2020 16:44:44 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,179 ,1 ,6 ,7 ,7
28 ,Sun Nov 01 2020 16:44:46 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,179 ,1 ,6 ,7 ,7
29 ,Sun Nov 01 2020 16:44:48 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,175 ,1 ,6 ,7 ,7
30 ,Sun Nov 01 2020 16:44:49 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,175 ,1 ,6 ,7 ,7
31 ,Sun Nov 01 2020 16:44:51 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,177 ,1 ,6 ,7 ,7
32 ,Sun Nov 01 2020 16:44:53 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,179 ,1 ,6 ,7 ,7
33 ,Sun Nov 01 2020 16:44:55 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,178 ,1 ,6 ,7 ,7
34 ,Sun Nov 01 2020 16:45:04 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,179 ,1 ,6 ,7 ,7
35 ,Sun Nov 01 2020 16:45:06 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,177 ,1 ,6 ,7 ,7
36 ,Sun Nov 01 2020 16:45:08 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,178 ,1 ,6 ,7 ,7
37 ,Sun Nov 01 2020 16:45:11 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,180 ,1 ,6 ,7 ,7
38 ,Sun Nov 01 2020 16:45:13 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,179 ,1 ,6 ,7 ,7
39 ,Sun Nov 01 2020 16:45:15 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,177 ,1 ,6 ,7 ,7
40 ,Sun Nov 01 2020 16:45:17 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,178 ,1 ,6 ,7 ,7
41 ,Sun Nov 01 2020 16:45:19 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,179 ,1 ,6 ,7 ,7
42 ,Sun Nov 01 2020 16:45:28 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,178 ,1 ,6 ,7 ,7
43 ,Sun Nov 01 2020 16:45:30 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,178 ,1 ,6 ,7 ,7
44 ,Sun Nov 01 2020 16:45:33 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,178 ,1 ,6 ,7 ,7
45 ,Sun Nov 01 2020 16:45:35 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,176 ,1 ,6 ,7 ,7
46 ,Sun Nov 01 2020 16:45:37 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,178 ,1 ,6 ,7 ,7
47 ,Sun Nov 01 2020 16:46:40 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,167 ,1 ,6 ,7 ,7
48 ,Sun Nov 01 2020 16:46:42 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,171 ,1 ,6 ,7 ,7
49 ,Sun Nov 01 2020 16:46:44 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,172 ,1 ,6 ,7 ,7
50 ,Sun Nov 01 2020 16:46:46 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,175 ,1 ,6 ,7 ,7
51 ,Sun Nov 01 2020 16:46:49 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,176 ,1 ,6 ,7 ,7
52 ,Sun Nov 01 2020 16:46:51 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,177 ,1 ,6 ,7 ,7
53 ,Sun Nov 01 2020 16:46:53 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,176 ,1 ,6 ,7 ,7
54 ,Sun Nov 01 2020 16:46:55 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,176 ,1 ,6 ,7 ,7
55 ,Sun Nov 01 2020 16:46:57 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,178 ,1 ,6 ,7 ,7
56 ,Sun Nov 01 2020 16:46:58 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,2 ,9.95 ,178 ,1 ,6 ,7 ,7
57 ,Sun Nov 01 2020 16:47:30 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.9 ,52.1 ,9.95 ,179 ,1 ,12 ,16 ,16
58 ,Sun Nov 01 2020 16:47:32 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.9 ,52 ,9.95 ,180 ,1 ,12 ,16 ,16
59 ,Sun Nov 01 2020 16:47:33 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.9 ,52 ,9.95 ,180 ,1 ,12 ,16 ,16
60 ,Sun Nov 01 2020 16:47:35 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.9 ,52 ,9.95 ,179 ,1 ,12 ,16 ,16
61 ,Sun Nov 01 2020 16:47:43 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.9 ,52 ,9.95 ,177 ,1 ,12 ,16 ,16
62 ,Sun Nov 01 2020 16:47:44 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.9 ,52 ,9.95 ,177 ,1 ,12 ,16 ,16
63 ,Sun Nov 01 2020 16:47:46 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,178 ,1 ,12 ,16 ,16
64 ,Sun Nov 01 2020 16:47:48 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,176 ,1 ,12 ,16 ,16
65 ,Sun Nov 01 2020 16:47:50 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,52 ,9.95 ,175 ,1 ,12 ,16 ,16
66 ,Sun Nov 01 2020 16:47:59 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,174 ,1 ,12 ,15 ,15
67 ,Sun Nov 01 2020 16:48:01 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,174 ,1 ,12 ,15 ,15
68 ,Sun Nov 01 2020 16:48:10 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,52.5 ,9.95 ,173 ,1 ,12 ,15 ,15
69 ,Sun Nov 01 2020 16:48:12 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,175 ,1 ,12 ,15 ,15
70 ,Sun Nov 01 2020 16:48:14 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,52 ,9.95 ,173 ,1 ,12 ,15 ,15
71 ,Sun Nov 01 2020 16:48:23 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,171 ,1 ,12 ,15 ,15
72 ,Sun Nov 01 2020 16:48:26 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,0 ,9.95 ,173 ,1 ,12 ,15 ,15
73 ,Sun Nov 01 2020 16:48:28 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,52.3 ,9.95 ,171 ,1 ,12 ,15 ,15
74 ,Sun Nov 01 2020 16:48:30 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,173 ,1 ,12 ,15 ,15
75 ,Sun Nov 01 2020 16:48:39 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,0 ,9.95 ,171 ,1 ,12 ,15 ,15
76 ,Sun Nov 01 2020 16:48:42 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,0 ,9.95 ,172 ,1 ,12 ,15 ,15
77 ,Sun Nov 01 2020 16:48:53 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.3 ,9.95 ,171 ,1 ,12 ,15 ,15
78 ,Sun Nov 01 2020 16:48:55 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,0 ,9.95 ,171 ,1 ,12 ,15 ,15
79 ,Sun Nov 01 2020 16:48:57 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
80 ,Sun Nov 01 2020 16:48:59 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,0 ,9.95 ,171 ,1 ,12 ,15 ,15
81 ,Sun Nov 01 2020 16:49:08 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,171 ,1 ,12 ,15 ,15
82 ,Sun Nov 01 2020 16:49:10 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
83 ,Sun Nov 01 2020 16:49:20 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
84 ,Sun Nov 01 2020 16:49:21 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
85 ,Sun Nov 01 2020 16:49:23 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.3 ,9.95 ,170 ,1 ,12 ,15 ,15
86 ,Sun Nov 01 2020 16:49:31 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,52.3 ,9.95 ,171 ,1 ,12 ,15 ,15
87 ,Sun Nov 01 2020 16:49:34 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
88 ,Sun Nov 01 2020 16:49:36 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
89 ,Sun Nov 01 2020 16:49:45 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,0 ,0 ,9.95 ,171 ,1 ,12 ,15 ,15
90 ,Sun Nov 01 2020 16:49:47 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
91 ,Sun Nov 01 2020 16:49:59 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,172 ,1 ,12 ,15 ,15
92 ,Sun Nov 01 2020 16:50:01 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,171 ,1 ,12 ,15 ,15
93 ,Sun Nov 01 2020 16:50:02 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,171 ,1 ,12 ,15 ,15
94 ,Sun Nov 01 2020 16:50:03 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
95 ,Sun Nov 01 2020 16:50:13 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,171 ,1 ,12 ,15 ,15
96 ,Sun Nov 01 2020 16:50:16 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
97 ,Sun Nov 01 2020 16:50:24 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.8 ,9.95 ,170 ,1 ,12 ,15 ,15
98 ,Sun Nov 01 2020 16:50:27 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.9 ,9.95 ,171 ,1 ,12 ,15 ,15
99 ,Sun Nov 01 2020 16:50:29 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,171 ,1 ,12 ,15 ,15
100 ,Sun Nov 01 2020 16:50:38 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
101 ,Sun Nov 01 2020 16:50:40 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,171 ,1 ,12 ,15 ,15
102 ,Sun Nov 01 2020 16:50:42 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.8 ,9.95 ,170 ,1 ,12 ,15 ,15
103 ,Sun Nov 01 2020 16:50:51 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.8 ,9.95 ,169 ,1 ,12 ,15 ,15
104 ,Sun Nov 01 2020 16:50:53 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,170 ,1 ,12 ,15 ,15
105 ,Sun Nov 01 2020 16:51:03 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,170 ,1 ,12 ,15 ,15
106 ,Sun Nov 01 2020 16:51:06 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
107 ,Sun Nov 01 2020 16:51:16 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.7 ,9.95 ,170 ,1 ,12 ,15 ,15
108 ,Sun Nov 01 2020 16:51:18 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
109 ,Sun Nov 01 2020 16:51:27 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,169 ,1 ,12 ,15 ,15
110 ,Sun Nov 01 2020 16:51:29 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,171 ,1 ,12 ,15 ,15
111 ,Sun Nov 01 2020 16:51:31 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,171 ,1 ,12 ,15 ,15
112 ,Sun Nov 01 2020 16:51:32 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,171 ,1 ,12 ,15 ,15
113 ,Sun Nov 01 2020 16:51:39 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
114 ,Sun Nov 01 2020 16:51:41 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
115 ,Sun Nov 01 2020 16:51:43 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.7 ,9.95 ,171 ,1 ,12 ,15 ,15
116 ,Sun Nov 01 2020 16:51:53 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,170 ,1 ,12 ,15 ,15
117 ,Sun Nov 01 2020 16:51:56 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,170 ,1 ,12 ,15 ,15
118 ,Sun Nov 01 2020 16:51:58 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,169 ,1 ,12 ,15 ,15
119 ,Sun Nov 01 2020 16:52:08 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,171 ,1 ,12 ,15 ,15
120 ,Sun Nov 01 2020 16:52:10 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,171 ,1 ,12 ,15 ,15
121 ,Sun Nov 01 2020 16:52:13 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,170 ,1 ,12 ,15 ,15
122 ,Sun Nov 01 2020 16:52:21 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,169 ,1 ,12 ,15 ,15
123 ,Sun Nov 01 2020 16:52:23 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,170 ,1 ,12 ,15 ,15
124 ,Sun Nov 01 2020 16:52:24 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.8 ,9.95 ,170 ,1 ,12 ,15 ,15
125 ,Sun Nov 01 2020 16:52:26 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
126 ,Sun Nov 01 2020 16:52:36 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.9 ,9.95 ,170 ,1 ,12 ,15 ,15
127 ,Sun Nov 01 2020 16:52:38 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.7 ,51.9 ,9.95 ,171 ,1 ,12 ,15 ,15
128 ,Sun Nov 01 2020 16:52:40 GMT+0100 (GMT+01:00) ,0.00202 ,0.00102 ,2 ,22.8 ,51.9 ,9.95 ,169 ,1 ,12 ,15 ,15
129 ,Sun Nov 01 2020 17:07:57 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.67 ,175 ,1 ,9 ,9 ,15
130 ,Sun Nov 01 2020 17:07:59 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.67 ,176 ,1 ,9 ,9 ,15
131 ,Sun Nov 01 2020 17:08:01 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.7 ,177 ,1 ,9 ,9 ,15
132 ,Sun Nov 01 2020 17:08:04 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.68 ,176 ,1 ,9 ,9 ,15
133 ,Sun Nov 01 2020 17:08:19 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.64 ,177 ,1 ,11 ,12 ,15
134 ,Sun Nov 01 2020 17:08:20 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.64 ,177 ,1 ,11 ,12 ,15
135 ,Sun Nov 01 2020 17:08:22 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.66 ,175 ,1 ,11 ,12 ,15
136 ,Sun Nov 01 2020 17:08:24 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.66 ,177 ,1 ,11 ,12 ,15
137 ,Sun Nov 01 2020 17:08:26 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.64 ,178 ,1 ,11 ,12 ,15
138 ,Sun Nov 01 2020 17:08:28 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.69 ,176 ,1 ,11 ,12 ,15
139 ,Sun Nov 01 2020 17:08:29 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.69 ,176 ,1 ,11 ,12 ,15
140 ,Sun Nov 01 2020 17:08:39 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.68 ,177 ,1 ,11 ,12 ,15
141 ,Sun Nov 01 2020 17:08:42 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.67 ,175 ,1 ,11 ,12 ,15
142 ,Sun Nov 01 2020 17:08:44 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.69 ,178 ,1 ,11 ,12 ,15
143 ,Sun Nov 01 2020 17:08:46 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.72 ,176 ,1 ,11 ,12 ,15
144 ,Sun Nov 01 2020 17:09:01 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.63 ,176 ,1 ,11 ,12 ,15
145 ,Sun Nov 01 2020 17:09:02 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.63 ,176 ,1 ,11 ,12 ,15
146 ,Sun Nov 01 2020 17:09:04 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.67 ,177 ,1 ,11 ,12 ,15
147 ,Sun Nov 01 2020 17:09:06 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.67 ,176 ,1 ,11 ,12 ,15
148 ,Sun Nov 01 2020 17:09:08 GMT+0100 (GMT+01:00) ,20.123456 ,10.123456 ,2 ,0 ,2 ,995.67 ,176 ,1 ,11 ,12 ,15
